"","Group","SessionType","ISI","MeanRA","MedianRA","WMeanRA","WMedianRA"
"1",1,"BL",4,0.659595079665974,0.591436082333434,0.834704254656752,0.734063682356482
"2",1,"BL",5,0.796175182548855,0.825767888884766,1.04778846620586,0.955804395123698
"3",1,"BL",8,1.347062483242,1.01604899993571,1.67244357305983,1.44077825838163
"4",1,"BL",10,1.47663873793913,1.43604117446441,1.9697940605816,1.76269344580609
"5",1,"BL",15,2.00662856935281,1.84819720084453,2.61243375255179,2.53296475645563
"6",1,"BL",20,1.88327826251523,1.59553424398198,2.57931205739641,2.37297581712839
"7",1,"SWD",4,0.72087020652514,0.813058141016192,0.848109684223666,0.750446398620796
"8",1,"SWD",5,0.93206779138249,0.926101228448472,1.24028619732867,1.10005422954123
"9",1,"SWD",8,1.52569870929891,1.5391356749181,2.16787226921984,2.20957996327684
"10",1,"SWD",10,1.79460024924901,1.52797720388727,2.48821682589512,2.44836953774586
"11",1,"SWD",15,1.88128926168187,1.62191583387721,2.79914278110572,1.98589410774963
"12",1,"SWD",20,1.6703177545348,1.73103423377162,2.1361383650759,2.26204384838298
"13",2,"BL",4,0.758535046516368,0.473049973774604,1.25384573827171,0.666444804209806
"14",2,"BL",5,0.953785112273461,0.904697646935637,1.46821494295602,1.00654898281166
"15",2,"BL",8,1.48567984724461,1.43818723683965,2.08269092273305,1.72163665742739
"16",2,"BL",10,1.76529717437926,1.42611033519454,2.65095913030317,1.94809912137963
"17",2,"BL",15,1.97181541494605,1.61117060545384,3.15618088989981,2.45782210467522
"18",2,"BL",20,2.09895613520841,1.88873658456503,3.29986059564549,2.53558267879276
"19",2,"SWD",4,0.859317052675144,0.661538466728208,1.06811275962342,0.849345591078826
"20",2,"SWD",5,0.904237735321195,0.750280284441248,1.07436667917101,0.837392750156591
"21",2,"SWD",8,1.33405805262091,1.26446275056974,1.53580763522658,1.37701502075731
"22",2,"SWD",10,1.50982922139824,1.4865384540782,2.00370286410781,1.80210250663593
"23",2,"SWD",15,1.84432725608895,1.94444433415936,2.7710155309839,1.84931517726264
"24",2,"SWD",20,1.76829444283974,1.60162568774892,2.45447538579189,2.00705950221707
